Temperatura,E_L=20,E_L=40,E_L=60,E_L=80,E_L=100,M_L=20,M_L=40,M_L=60,M_L=80,M_L=100
0.1,-9.448406015499335,-8.248893838101463,-7.892916539718285,-7.270009933946821,-6.882894110197088,1.0,1.0,1.0,1.0,1.0
0.4413793103448276,-9.448406015499335,-8.248893838101463,-7.892916539718285,-7.270009933946821,-6.882894110197088,1.0,1.0,1.0,1.0,1.0
0.7827586206896552,-9.446308574235958,-8.248893838101463,-7.892458465863303,-7.269572489285885,-6.880821608910791,0.9998890055497225,1.0,0.9999709819651154,0.9999699144385695,0.999849445505545
1.124137931034483,-9.427767004509025,-8.229120445016697,-7.874928736555866,-7.244236764565687,-6.861712366814061,0.9988713064346783,0.9987709682257944,0.9988501395347115,0.9981141095111312,0.9984243057569423
1.4655172413793105,-9.301953596474032,-8.06483468470036,-7.749390410251617,-7.136081127980195,-6.745828095904792,0.9919444027798611,0.9881220156996074,0.9902229870242903,0.9899223486268922,0.9891191968080318
1.806896551724138,-8.73016937782995,-7.686506822566863,-7.389591082848445,-6.823979470202945,-6.49749178145923,0.9554487275636219,0.9599178145546361,0.9612412200537398,0.9638815921050987,0.9667481825181748
2.148275862068966,-7.407640543917539,-6.894401332163052,-6.599773389373081,-6.225736609639736,-5.989610210049099,0.7840002999850008,0.8837430939226519,0.881733915545852,0.9022662958900515,0.9154722672773272
2.4896551724137934,-6.38108712648185,-5.740804066602998,-5.748994090131074,-5.458091145871863,-5.253721285523999,0.6917779111044448,0.7017129259268517,0.7755322226111047,0.8053854834627068,0.8192644693553064
2.831034482758621,-4.626464134462991,-4.633885093203726,-4.577054957827315,-4.514924135696788,-4.482230479195924,0.3225221238938053,0.5145778855528611,0.5803573644142968,0.6505332472406594,0.7028588734112658
3.1724137931034484,-4.011217059188942,-3.5921268854373287,-3.7961922866589353,-3.72360591279556,-3.7474753349482186,0.2725423728813559,0.3026940576485588,0.4269461249719912,0.4980318800702491,0.5483826321736783
3.513793103448276,-3.340704296211615,-3.098724675562361,-3.2960932979804776,-3.1826825302737465,-3.1698129689965753,0.10843857807109644,0.21179079898002548,0.28802474588386495,0.3832139285758928,0.43995413645863546
3.855172413793104,-3.0281146884661987,-2.7790037389754354,-2.831593692875512,-2.7963540049600724,-2.753051400787783,0.09624768761561922,0.15645243243918902,0.2638878518691355,0.3047278432457094,0.35896684233157666
4.196551724137931,-2.751488640040815,-2.491111394659748,-2.540427977496501,-2.513770433619718,-2.509587231874551,0.04915229238538073,0.12540080247993798,0.1726385393576774,0.24598352286221423,0.302749970500295
4.537931034482758,-2.4816414839869334,-2.2790453690707726,-2.3115117803835497,-2.2343235483725223,-2.2265392327166786,0.03974376281185941,0.10134581010474739,0.17620465584832845,0.20916227219034764,0.24493160868391314
4.879310344827586,-2.2354921074324534,-2.0593157971389946,-2.107824432013633,-2.1063692527633573,-2.0792281467578584,0.055453727313634314,0.07320029499262519,0.12322595549333437,0.20763199835002064,0.24048746112538874
5.220689655172413,-2.0352313444645738,-1.909980009821094,-1.9759400142494001,-1.9505868997137668,-1.942065470067302,0.06437203139843008,0.10001312467188321,0.11783461016390467,0.1551000339058262,0.2082049339506605
5.562068965517241,-1.8797278050324417,-1.8029215820467315,-1.8437137219648096,-1.801497359102508,-1.7722239098145054,0.028003849807509626,0.07736119097022574,0.11961211757581819,0.13291902601217484,0.18186427135728642
5.903448275862069,-1.7949444107205703,-1.7218947235465234,-1.712149327399518,-1.7016153447771891,-1.6738016281928894,0.03970376481175941,0.08216932076698083,0.09146099416861571,0.1337786637042037,0.16844957150428494
6.244827586206896,-1.5882425190080616,-1.612769741751635,-1.6618043944249752,-1.5969649451034496,-1.5804295920905986,0.04334883255837208,0.05265699607509812,0.09915330114868456,0.12380449541255734,0.15355124848751514
6.586206896551724,-1.6214236618773519,-1.4940559183689253,-1.4827271150708858,-1.4695210489289123,-1.4867031730801912,0.0373488825558722,0.052837741556461086,0.08308534672570271,0.11291736587667653,0.14930885491145088
6.927586206896551,-1.5100183526110547,-1.4272003052014421,-1.4420147415299274,-1.4074900669761172,-1.3833190764784717,0.028129093545322732,0.05608625409364766,0.06599421491123296,0.11034885892051349,0.13320385196148038
7.268965517241379,-1.4710621603172618,-1.3298797109350533,-1.3753224622887483,-1.3325842571549846,-1.342019192703236,0.022049397530123492,0.04737431564210895,0.09086780961058057,0.10689819502256222,0.1260150178498215
7.610344827586207,-1.330845377480378,-1.297673741205159,-1.336246306925707,-1.2602610860799026,-1.2901613853211114,0.04205539723013849,0.04262796555086123,0.07181637713445517,0.10571072549093136,0.11951496685033151
7.951724137931034,-1.320369981080513,-1.2258168456245224,-1.25627938646459,-1.2235732407569722,-1.2575193248741299,0.026254187290635465,0.054268362040948974,0.06960937688075569,0.10120104358070524,0.1265140068599314
8.293103448275863,-1.209562253615606,-1.2029179732458974,-1.2047752372348273,-1.208217354222575,-1.2108723943877608,0.007333133343332834,0.051985512862178444,0.07749983796566352,0.10184106292421344,0.11518457615423845
8.63448275862069,-1.1161576198765628,-1.1086158831057857,-1.121956244300112,-1.138931163436669,-1.1584629285592882,0.008091095445227738,0.044402139946501336,0.06348346046084417,0.09785801114986063,0.10747139528604714
8.975862068965517,-1.1888854508908222,-1.09485655661113,-1.1198935234071867,-1.085088779768792,-1.0937707031082715,0.0441610419479026,0.049866534586635335,0.05598364101339052,0.0782392837277034,0.11137857021429787
9.317241379310344,-1.1498064354599844,-1.103905109159781,-1.067688012533158,-1.0807900709490144,-1.0605834403050567,0.005472976351182442,0.053718469538261544,0.06783181391421254,0.07883528409019887,0.09885768742312577
9.658620689655173,-1.1372690275478126,-1.001358971285545,-1.0298745566063596,-1.0115867458811434,-1.0527682812760708,0.03085320733963302,0.03911917827054324,0.05383256575353374,0.08011718994137575,0.09929164508354917
10.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.028472076396180192,0.039337579060523487,0.04479357751444883,0.07781618354770566,0.1022979990200098
