Temperatura,E_L20,E_L40,E_L60,E_L80,E_L100,M_L20,M_L40,M_L60,M_L80,M_L100
0.1,-9.35043442283823,-8.18820528750373,-7.87431461795483,-7.522596377580134,-6.867211878465684,1.0,1.0,1.0,1.0,1.0
0.4413793103448276,-9.35043442283823,-8.18820528750373,-7.87431461795483,-7.522596377580134,-6.867211878465684,1.0,1.0,1.0,1.0,1.0
0.7827586206896552,-9.339191087611528,-8.18820528750373,-7.873715596744987,-7.52126607005583,-6.865888552501116,0.999372781360932,1.0,0.999961963596903,0.9999115792302596,0.9999036489635104
1.124137931034483,-9.32079736517932,-8.152125630540013,-7.84324155923996,-7.4872441721102705,-6.848066461750198,0.9983988300584972,0.9977361503462413,0.997884785253579,0.9975126717166036,0.998570126298737
1.4655172413793105,-9.150424605372958,-8.037223162420762,-7.74900931107603,-7.370621525305477,-6.72907815291043,0.9884553272336383,0.9900191557711057,0.991356551464883,0.9885599398757516,0.98920111798882
1.806896551724138,-8.563856767856684,-7.650928391329112,-7.389249246192759,-7.059567316831256,-6.446315579208988,0.946967151642418,0.9603988650283743,0.9626295395076748,0.9640103287771403,0.9632147478525214
2.148275862068966,-7.724073126091317,-6.880634048060493,-6.702058326117762,-6.3987953535266096,-5.989746352588991,0.8759247037648117,0.8770345428864279,0.8931328459340493,0.8982662990150123,0.9165477545224548
2.4896551724137934,-5.4631973614393345,-5.54190132538142,-5.640773192313514,-5.557940854854229,-5.141498062620958,0.4639843007849608,0.6678582722931927,0.7460318902092372,0.7900878309333633,0.8017319846801532
2.831034482758621,-4.584770306375041,-4.469329540924394,-4.53390448382249,-4.734469389865409,-4.436293436929774,0.09792860356982151,0.4623581597960051,0.5612965339466565,0.6689332164597943,0.6903777102228978
3.1724137931034484,-3.9014910859752834,-3.55585546950763,-3.721973448253637,-3.8679267504561765,-3.7471106391949256,0.13171391430428478,0.2363553098672533,0.41090679970148647,0.5112911987037662,0.5601644003559965
3.513793103448276,-3.33099584160221,-3.1668926895995506,-3.2503761380746803,-3.364824967091256,-3.191146038439164,0.10180190990450477,0.2262115322116947,0.32007429505804535,0.37318722969087886,0.4480763472365276
3.855172413793104,-3.029564595415244,-2.776400544706739,-2.826864205624675,-2.885278166122064,-2.8137197170830395,0.16296435178241087,0.16520855728606787,0.24637556966643148,0.290460541118236,0.36400057399426006
4.196551724137931,-2.5753572271738085,-2.4133916796608528,-2.523328580631784,-2.5445250008455473,-2.5153615178012627,0.04074896255187241,0.11942198320042,0.1891787173917472,0.2430855747115661,0.3013617283827162
4.537931034482758,-2.4390978216914556,-2.185683383322783,-2.3551261808723254,-2.32193853474995,-2.2864888229484435,0.04660041997900105,0.09844132021699459,0.17243702419774484,0.22122567217909775,0.2707011729882701
4.879310344827586,-2.167841256261556,-2.034595070107196,-2.1367750757015243,-2.143476569711896,-2.0566871272282903,0.03392355382230888,0.07215003999900002,0.1083847861794896,0.19492499312508593,0.23592660673393265
5.220689655172413,-2.0919428997519924,-1.910759749222012,-1.9708403678468511,-2.021925038322889,-1.8649295284836809,0.020710214489275538,0.0654749568760781,0.11605838976757794,0.17670566227297158,0.18670313896861032
5.562068965517241,-1.921588839879479,-1.8236931567249839,-1.8651808568686357,-1.8412222197441064,-1.795479252499376,0.028434578271086447,0.06881237344066399,0.11658884388963887,0.1583916568230397,0.18897912020879792
5.903448275862069,-1.8181080809426637,-1.7072342008690538,-1.6759024761973642,-1.758834510502104,-1.6664295213212503,0.05447377631118444,0.05492037699057524,0.09703537348451599,0.15443669844751942,0.17079185608143918
6.244827586206896,-1.700707558747011,-1.5900631448370306,-1.6376351844177495,-1.6641012582883796,-1.5873760399962198,0.04233488325583721,0.06808820404489888,0.0943194094913233,0.12271538793265084,0.1583563224367756
6.586206896551724,-1.593771987031596,-1.4443778885091134,-1.4959602522888356,-1.5206849567495786,-1.470103116060997,0.012974601269936503,0.052073135671608206,0.10289440546361264,0.1153069766315421,0.14449739502604972
6.927586206896551,-1.508977136993378,-1.4514057517633625,-1.4299051131738878,-1.459643964077818,-1.4282677654608547,0.003933553322333883,0.05005009249768756,0.07228070272902859,0.11515311917976025,0.14443179968200318
7.268965517241379,-1.4206152745734661,-1.3276922273869172,-1.355947356126275,-1.403327896268454,-1.3361088082909383,0.02673116344182791,0.052316410839729,0.08443616680462733,0.10192606967412907,0.12873783462165378
7.610344827586207,-1.3870301933806908,-1.26590327207856,-1.3218138648037707,-1.34282670190959,-1.2617386224930998,0.0032128393580320986,0.043488131546711335,0.0752856156101102,0.10703541205734929,0.11455124648753513
7.951724137931034,-1.338038704188084,-1.2125390017496733,-1.2614947766458722,-1.2699430279170936,-1.2486223789676654,0.016975651217439127,0.05233222294442639,0.0670412900525732,0.09869186791415106,0.11739354006459934
8.293103448275863,-1.227300033426132,-1.142800265495919,-1.1942950374854875,-1.2376534505997419,-1.207700303476913,0.019414279286035698,0.04880112372190695,0.0633325092729936,0.10908317161660479,0.10343896361036391
8.63448275862069,-1.2809454686554047,-1.0822389985256482,-1.1484127541939506,-1.2136768848400978,-1.1540445392745036,0.02965126743662817,0.0432833554161146,0.06444816660463067,0.09399218056649293,0.10753561664383356
8.975862068965517,-1.1063395113239787,-1.0656590649610378,-1.1228990876737823,-1.1252102590829147,-1.096024787969743,0.02870456477176141,0.06201498087547812,0.06610835189783874,0.08308564892938838,0.10543948760512394
9.317241379310344,-1.1061782243945313,-1.0094105714252084,-1.0834212131083572,-1.0793399497855338,-1.0670132504687067,0.028192090395480224,0.038482100447488815,0.06306406930254865,0.08675831395857551,0.09820771192288077
9.658620689655173,-1.118639392813148,-1.003913352530783,-1.0200833963511033,-1.0613738634005843,-1.0191073452735466,0.022213889305534723,0.03182151696207595,0.054941982448440674,0.07001162094848815,0.09536274437255628
10.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03372906354682266,0.03913755281117972,0.05488703891972171,0.06817905010562368,0.0938370516294837
